代码,专业组名称
0306,中国民用航空飞行学院02专业组(不限)
0306,中国民用航空飞行学院03专业组(思想政治)
1101,南京大学03专业组(不限)
1102,东南大学02专业组(不限)
1103,南京航空航天大学01专业组(不限)
1103,南京航空航天大学02专业组(思想政治)
1104,南京理工大学01专业组(不限)
1105,河海大学01专业组(不限)
1105,河海大学02专业组(不限)
1105,河海大学03专业组(思想政治)
1106,南京信息工程大学02专业组(不限)
1106,南京信息工程大学03专业组(不限)
1107,南京农业大学01专业组(不限)
1108,南京师范大学04专业组(不限)
1108,南京师范大学05专业组(不限)
1108,南京师范大学06专业组(不限)
1108,南京师范大学07专业组(不限)
1108,南京师范大学08专业组(不限)
1108,南京师范大学09专业组(化学或地理)
1108,南京师范大学10专业组(思想政治)
1109,中国药科大学01专业组(不限)
1110,南京工业大学02专业组(不限)
1110,南京工业大学03专业组(不限)
1111,南京邮电大学02专业组(不限)
1112,南京医科大学01专业组(不限)
1113,南京中医药大学03专业组(不限)
1113,南京中医药大学04专业组(不限)
1113,南京中医药大学05专业组(化学或生物)
1113,南京中医药大学06专业组(化学或生物)
1113,南京中医药大学07专业组(化学或生物)
1114,南京工程学院01专业组(不限)
1114,南京工程学院02专业组(不限)
1115,南京林业大学01专业组(不限)
1115,南京林业大学02专业组(不限)
1116,南京财经大学01专业组(不限)
1116,南京财经大学02专业组(不限)
1116,南京财经大学03专业组(不限)
1117,南京体育学院01专业组(不限)
1117,南京体育学院02专业组(不限)
1118,南京艺术学院01专业组(不限)
1119,南京审计大学01专业组(不限)
1119,南京审计大学02专业组(不限)
1119,南京审计大学03专业组(不限)
1119,南京审计大学04专业组(不限)
1119,南京审计大学05专业组(不限)
1119,南京审计大学06专业组(不限)
1120,南京晓庄学院04专业组(不限)
1120,南京晓庄学院05专业组(不限)
1120,南京晓庄学院06专业组(化学或地理)
1120,南京晓庄学院07专业组(思想政治)
1122,江苏警官学院03专业组(不限)
1128,金陵科技学院01专业组(不限)
1128,金陵科技学院02专业组(不限)
1131,江苏第二师范学院04专业组(不限)
1131,江苏第二师范学院05专业组(化学或地理)
1131,江苏第二师范学院06专业组(思想政治)
1133,南京特殊教育师范学院02专业组(不限)
1136,南京工业职业技术大学01专业组(不限)
1136,南京工业职业技术大学02专业组(不限)
1136,南京工业职业技术大学03专业组(思想政治或地理)
1201,江南大学01专业组(不限)
1201,江南大学02专业组(不限)
1201,江南大学03专业组(不限)
1201,江南大学04专业组(思想政治)
1203,无锡学院01专业组(不限)
1221,中国矿业大学01专业组(不限)
1222,江苏师范大学03专业组(不限)
1222,江苏师范大学04专业组(不限)
1222,江苏师范大学05专业组(化学或地理)
1222,江苏师范大学06专业组(思想政治)
1223,徐州医科大学01专业组(不限)
1223,徐州医科大学02专业组(不限)
1224,徐州工程学院01专业组(不限)
1242,常州大学01专业组(不限)
1243,常州工学院01专业组(不限)
1243,常州工学院02专业组(不限)
1243,常州工学院03专业组(不限)
1243,常州工学院04专业组(化学)
1244,江苏理工学院01专业组(不限)
1244,江苏理工学院02专业组(不限)
1244,江苏理工学院03专业组(不限)
1261,苏州大学03专业组(不限)
1261,苏州大学04专业组(不限)
1261,苏州大学05专业组(不限)
1261,苏州大学06专业组(不限)
1261,苏州大学07专业组(生物)
1261,苏州大学08专业组(思想政治)
1262,苏州科技大学01专业组(不限)
1262,苏州科技大学02专业组(不限)
1262,苏州科技大学03专业组(化学或地理)
1262,苏州科技大学04专业组(思想政治)
1263,常熟理工学院01专业组(不限)
1263,常熟理工学院02专业组(不限)
1263,常熟理工学院03专业组(不限)
1265,中国人民大学(苏州校区)01专业组(不限)
1267,苏州城市学院01专业组(不限)
1267,苏州城市学院02专业组(不限)
1267,苏州城市学院03专业组(不限)
1301,南通大学02专业组(不限)
1301,南通大学03专业组(不限)
1301,南通大学04专业组(不限)
1301,南通大学05专业组(思想政治)
1321,江苏海洋大学01专业组(不限)
1321,江苏海洋大学02专业组(化学或地理)
1341,淮阴师范学院03专业组(不限)
1341,淮阴师范学院04专业组(化学或地理)
1341,淮阴师范学院05专业组(思想政治)
1342,淮阴工学院01专业组(不限)
1342,淮阴工学院02专业组(化学或生物)
1361,盐城工学院01专业组(不限)
1362,盐城师范学院03专业组(不限)
1362,盐城师范学院04专业组(不限)
1362,盐城师范学院05专业组(化学或地理)
1362,盐城师范学院06专业组(思想政治)
1381,扬州大学05专业组(不限)
1381,扬州大学06专业组(不限)
1381,扬州大学07专业组(不限)
1381,扬州大学08专业组(不限)
1381,扬州大学09专业组(思想政治)
1401,江苏大学01专业组(不限)
1401,江苏大学02专业组(不限)
1401,江苏大学03专业组(不限)
1401,江苏大学04专业组(不限)
1401,江苏大学05专业组(不限)
1401,江苏大学06专业组(不限)
1401,江苏大学07专业组(思想政治)
1402,江苏科技大学01专业组(不限)
1402,江苏科技大学02专业组(不限)
1402,江苏科技大学03专业组(不限)
1402,江苏科技大学04专业组(不限)
1402,江苏科技大学05专业组(不限)
1402,江苏科技大学06专业组(不限)
1402,江苏科技大学07专业组(不限)
1402,江苏科技大学08专业组(思想政治)
1421,泰州学院01专业组(不限)
1421,泰州学院02专业组(不限)
1426,宿迁学院01专业组(不限)
1426,宿迁学院02专业组(思想政治)
1802,东南大学成贤学院01专业组(不限)
1802,东南大学成贤学院02专业组(不限)
1802,东南大学成贤学院03专业组(化学)
1803,南京航空航天大学金城学院01专业组(不限)
1803,南京航空航天大学金城学院02专业组(不限)
1804,南京理工大学紫金学院01专业组(不限)
1807,南京审计大学金审学院01专业组(不限)
1810,南京工业大学浦江学院01专业组(不限)
1810,南京工业大学浦江学院02专业组(不限)
1816,南京财经大学红山学院01专业组(不限)
1826,中国矿业大学徐海学院01专业组(不限)
1827,江苏师范大学科文学院01专业组(不限)
1834,苏州大学应用技术学院01专业组(不限)
1834,苏州大学应用技术学院02专业组(化学)
1835,苏州科技大学天平学院01专业组(不限)
1835,苏州科技大学天平学院02专业组(化学或地理)
1837,江苏科技大学苏州理工学院01专业组(不限)
1838,南通大学杏林学院01专业组(不限)
1844,扬州大学广陵学院01专业组(不限)
1845,江苏大学京江学院01专业组(不限)
1846,南京医科大学康达学院01专业组(不限)
1847,南京师范大学泰州学院01专业组(不限)
1848,南京理工大学泰州科技学院01专业组(不限)
1850,南京邮电大学通达学院01专业组(不限)
1855,常州大学怀德学院01专业组(不限)
1858,南京师范大学中北学院01专业组(不限)
1858,南京师范大学中北学院02专业组(化学)
1901,南京传媒学院01专业组(不限)
1911,三江学院01专业组(不限)
1915,无锡太湖学院01专业组(不限)
1921,西交利物浦大学01专业组(不限)
1921,西交利物浦大学02专业组(思想政治)
1928,南通理工学院01专业组(不限)
1928,南通理工学院02专业组(化学)
2101,复旦大学03专业组(不限)
2101,复旦大学04专业组(不限)
2102,同济大学01专业组(不限)
2102,同济大学02专业组(思想政治)
2103,上海交通大学01专业组(不限)
2104,华东理工大学01专业组(不限)
2105,东华大学01专业组(不限)
2106,华东师范大学01专业组(不限)
2106,华东师范大学02专业组(化学或地理)
2106,华东师范大学03专业组(思想政治)
2107,华东政法大学01专业组(不限)
2109,上海外国语大学01专业组(不限)
2109,上海外国语大学02专业组(思想政治)
2110,上海财经大学01专业组(不限)
2111,上海师范大学01专业组(不限)
2111,上海师范大学02专业组(不限)
2111,上海师范大学03专业组(化学或生物)
2112,上海大学01专业组(不限)
2114,上海对外经贸大学01专业组(不限)
2114,上海对外经贸大学02专业组(不限)
2115,上海理工大学01专业组(不限)
2115,上海理工大学02专业组(不限)
2116,上海海洋大学01专业组(不限)
2117,上海海事大学01专业组(不限)
2118,上海电力大学01专业组(不限)
2119,上海体育学院01专业组(不限)
2120,上海工程技术大学01专业组(不限)
2124,上海第二工业大学01专业组(不限)
2125,上海政法学院01专业组(不限)
2136,上海电机学院01专业组(不限)
2137,上海立信会计金融学院01专业组(不限)
2141,上海商学院01专业组(不限)
2141,上海商学院02专业组(不限)
2201,浙江大学01专业组(不限)
2202,中国计量大学01专业组(不限)
2203,浙江理工大学01专业组(不限)
2204,浙江工业大学01专业组(不限)
2205,中国美术学院01专业组(不限)
2206,浙江师范大学01专业组(不限)
2207,浙江工商大学01专业组(不限)
2209,杭州师范大学01专业组(不限)
2209,杭州师范大学02专业组(不限)
2211,浙江传媒学院01专业组(不限)
2211,浙江传媒学院02专业组(不限)
2212,浙江科技学院01专业组(不限)
2213,浙江财经大学01专业组(不限)
2213,浙江财经大学02专业组(不限)
2214,浙江农林大学01专业组(不限)
2216,浙江中医药大学01专业组(不限)
2216,浙江中医药大学02专业组(化学或生物)
2221,宁波大学01专业组(不限)
2223,绍兴文理学院01专业组(不限)
2228,温州大学01专业组(不限)
2231,嘉兴学院01专业组(不限)
2240,浙江外国语学院01专业组(不限)
2245,宁波诺丁汉大学01专业组(不限)
2245,宁波诺丁汉大学02专业组(思想政治)
2248,温州肯恩大学01专业组(不限)
2249,浙大城市学院01专业组(不限)
2250,浙大宁波理工学院01专业组(不限)
2251,浙江海洋大学01专业组(不限)
2261,湖州师范学院01专业组(不限)
2268,丽水学院01专业组(不限)
2268,丽水学院02专业组(思想政治)
2272,浙江水利水电学院01专业组(不限)
2275,湖州学院01专业组(不限)
2302,合肥工业大学01专业组(不限)
2302,合肥工业大学02专业组(思想政治)
2303,安徽大学01专业组(不限)
2304,安徽医科大学01专业组(化学或生物)
2304,安徽医科大学02专业组(化学和生物)
2305,安徽建筑大学01专业组(不限)
2306,安徽农业大学01专业组(不限)
2306,安徽农业大学02专业组(化学或生物)
2307,安徽中医药大学01专业组(不限)
2309,安徽师范大学02专业组(不限)
2309,安徽师范大学03专业组(思想政治)
2321,安徽财经大学01专业组(不限)
2321,安徽财经大学02专业组(不限)
2327,合肥学院01专业组(不限)
2331,阜阳师范大学01专业组(不限)
2331,阜阳师范大学02专业组(不限)
2332,蚌埠医学院01专业组(不限)
2332,蚌埠医学院02专业组(化学)
2342,宿州学院01专业组(不限)
2342,宿州学院02专业组(化学或地理)
2343,安庆师范大学01专业组(不限)
2348,池州学院01专业组(不限)
2351,淮北师范大学01专业组(不限)
2351,淮北师范大学02专业组(思想政治)
2351,淮北师范大学03专业组(思想政治或地理)
2351,淮北师范大学04专业组(地理)
2356,铜陵学院01专业组(不限)
2361,安徽工业大学01专业组(不限)
2362,淮南师范学院01专业组(不限)
2362,淮南师范学院02专业组(思想政治)
2372,滁州学院01专业组(不限)
2372,滁州学院02专业组(化学或地理)
2381,黄山学院01专业组(思想政治或地理)
2381,黄山学院02专业组(思想政治或地理)
2381,黄山学院03专业组(思想政治和地理)
2383,合肥工业大学(宣城校区)01专业组(不限)
2401,福州大学01专业组(不限)
2402,福建农林大学01专业组(不限)
2410,三明学院01专业组(不限)
2411,厦门大学01专业组(不限)
2411,厦门大学02专业组(不限)
2411,厦门大学03专业组(不限)（马来西亚分校）
2412,集美大学01专业组(不限)
2413,厦门理工学院01专业组(不限)
2421,莆田学院01专业组(不限)
2421,莆田学院02专业组(不限)
2422,华侨大学01专业组(不限)
2422,华侨大学02专业组(思想政治)
2422,华侨大学03专业组(思想政治或地理)
2437,武夷学院01专业组(不限)
2501,江西财经大学01专业组(不限)
2502,华东交通大学01专业组(不限)
2502,华东交通大学02专业组(不限)
2504,江西中医药大学01专业组(不限)
2504,江西中医药大学02专业组(化学或生物)
2505,南昌大学01专业组(不限)
2506,南昌航空大学01专业组(不限)
2507,江西科技师范大学01专业组(不限)
2507,江西科技师范大学02专业组(化学或生物)
2507,江西科技师范大学03专业组(思想政治)
2508,江西农业大学01专业组(不限)
2508,江西农业大学02专业组(化学或生物)
2508,江西农业大学03专业组(化学或地理)
2510,江西师范大学02专业组(不限)
2510,江西师范大学03专业组(化学或地理)
2510,江西师范大学04专业组(生物)
2510,江西师范大学05专业组(思想政治)
2511,南昌工程学院01专业组(不限)
2512,江西警察学院01专业组(不限)
2521,江西理工大学01专业组(不限)
2522,赣南医学院01专业组(不限)
2523,赣南师范大学01专业组(不限)
2523,赣南师范大学02专业组(化学或地理)
2523,赣南师范大学03专业组(思想政治)
2527,新余学院01专业组(不限)
2527,新余学院02专业组(化学)
2531,景德镇陶瓷大学01专业组(不限)
2531,景德镇陶瓷大学02专业组(思想政治)
2531,景德镇陶瓷大学03专业组(地理)
2541,东华理工大学01专业组(不限)
2542,萍乡学院01专业组(不限)
2543,南昌师范学院01专业组(不限)
2543,南昌师范学院02专业组(思想政治)
2543,南昌师范学院03专业组(思想政治或地理)
2551,宜春学院01专业组(不限)
2551,宜春学院02专业组(化学或地理)
2551,宜春学院03专业组(思想政治)
2561,九江学院01专业组(不限)
2571,上饶师范学院01专业组(不限)
2571,上饶师范学院02专业组(思想政治)
2572,赣东学院01专业组(不限)
2573,赣南科技学院01专业组(不限)
2574,南昌医学院01专业组(不限)
2574,南昌医学院02专业组(不限)
2574,南昌医学院03专业组(不限)
2581,井冈山大学01专业组(不限)
2581,井冈山大学02专业组(化学)
2596,景德镇学院01专业组(不限)
2601,山东大学01专业组(不限)
2601,山东大学02专业组(思想政治)
2602,济南大学01专业组(不限)
2602,济南大学02专业组(思想政治)
2603,北京交通大学(威海校区)01专业组(不限)
2605,山东中医药大学01专业组(不限)
2605,山东中医药大学02专业组(化学或生物)
2606,山东财经大学01专业组(不限)
2607,山东建筑大学01专业组(不限)
2608,山东工艺美术学院01专业组(不限)
2609,山东交通学院01专业组(不限)
2610,齐鲁工业大学01专业组(不限)
2610,齐鲁工业大学02专业组(化学或生物)
2611,山东理工大学01专业组(不限)
2621,中国海洋大学01专业组(不限)
2622,青岛理工大学01专业组(不限)
2624,青岛大学01专业组(不限)
2624,青岛大学02专业组(不限)
2631,山东农业大学01专业组(不限)
2633,山东科技大学01专业组(不限)
2635,潍坊学院01专业组(不限)
2635,潍坊学院02专业组(思想政治)
2642,聊城大学01专业组(不限)
2643,青岛农业大学01专业组(不限)
2643,青岛农业大学02专业组(化学或生物)
2645,临沂大学01专业组(不限)
2650,滨州学院01专业组(不限)
2651,烟台大学01专业组(不限)
2652,山东工商学院01专业组(不限)
2652,山东工商学院02专业组(思想政治)
2653,鲁东大学01专业组(不限)
2661,山东大学威海分校01专业组(不限)
2661,山东大学威海分校02专业组(不限)
2661,山东大学威海分校03专业组(思想政治)
2669,菏泽学院01专业组(不限)
2669,菏泽学院02专业组(化学或生物)
2671,曲阜师范大学01专业组(不限)
2683,德州学院01专业组(不限)
2691,山东第一医科大学01专业组(不限)
2701,山东女子学院01专业组(不限)
2702,济宁学院01专业组(不限)
2710,齐鲁师范学院01专业组(不限)
2711,山东师范大学01专业组(不限)
2711,山东师范大学02专业组(不限)
2711,山东师范大学03专业组(化学或地理)
2755,山东石油化工学院01专业组(不限)
3101,北京大学03专业组(不限)
3102,中国人民大学03专业组(不限)
3102,中国人民大学04专业组(思想政治)
3103,清华大学02专业组(不限)
3104,北京师范大学01专业组(不限)
3104,北京师范大学02专业组(不限)
3105,北京交通大学01专业组(不限)
3106,北京航空航天大学01专业组(不限)
3107,北京理工大学01专业组(不限)
3108,北京科技大学01专业组(不限)
3109,北京化工大学01专业组(不限)
3110,中国农业大学01专业组(不限)
3110,中国农业大学02专业组(不限)
3112,中国政法大学01专业组(不限)
3112,中国政法大学02专业组(思想政治)
3114,北京林业大学01专业组(不限)
3115,北京大学医学部01专业组(不限)
3116,北京外国语大学02专业组(不限)
3116,北京外国语大学03专业组(思想政治)
3116,北京外国语大学04专业组(思想政治)
3117,北京语言大学02专业组(不限)
3117,北京语言大学03专业组(思想政治)
3118,中国石油大学(北京)01专业组(不限)
3118,中国石油大学(北京)02专业组(思想政治)
3119,对外经济贸易大学02专业组(不限)
3120,中央财经大学01专业组(不限)
3121,北京中医药大学01专业组(不限)
3121,北京中医药大学02专业组(化学或生物)
3122,中国矿业大学(北京)01专业组(不限)
3123,中国传媒大学02专业组(不限)
3123,中国传媒大学03专业组(不限)
3127,北京体育大学01专业组(不限)
3127,北京体育大学02专业组(思想政治)
3128,华北电力大学(北京)01专业组(不限)
3129,中央民族大学01专业组(不限)
3132,北京第二外国语学院01专业组(不限)
3133,首都师范大学01专业组(不限)
3136,北京物资学院01专业组(不限)
3139,北京印刷学院01专业组(不限)
3142,北京工商大学01专业组(不限)
3144,北京联合大学01专业组(不限)
3148,北京电影学院01专业组(不限)
3153,华北科技学院01专业组(不限)
3154,首都经济贸易大学01专业组(不限)
3169,中国劳动关系学院01专业组(不限)
3201,南开大学02专业组(不限)
3203,天津医科大学01专业组(化学和生物)
3204,天津师范大学02专业组(不限)
3204,天津师范大学03专业组(化学或地理)
3204,天津师范大学04专业组(思想政治)
3205,中国民航大学01专业组(不限)
3205,中国民航大学02专业组(化学)
3205,中国民航大学03专业组(思想政治)
3206,天津工业大学01专业组(不限)
3207,天津商业大学01专业组(不限)
3207,天津商业大学02专业组(不限)
3208,天津科技大学01专业组(不限)
3208,天津科技大学02专业组(化学或生物)
3209,天津财经大学01专业组(不限)
3211,天津外国语大学01专业组(不限)
3211,天津外国语大学02专业组(不限)
3211,天津外国语大学03专业组(思想政治)
3212,天津中医药大学01专业组(不限)
3212,天津中医药大学02专业组(化学)
3212,天津中医药大学03专业组(化学或生物)
3213,天津农学院01专业组(不限)
3217,天津体育学院01专业组(不限)
3218,天津职业技术师范大学01专业组(不限)
3301,石家庄铁道大学01专业组(不限)
3302,河北科技师范学院01专业组(不限)
3302,河北科技师范学院02专业组(不限)
3305,河北地质大学01专业组(不限)
3307,河北工业大学01专业组(不限)
3310,河北经贸大学01专业组(不限)
3310,河北经贸大学02专业组(不限)
3311,华北电力大学(保定)01专业组(不限)
3312,河北大学01专业组(不限)
3312,河北大学02专业组(思想政治)
3314,河北师范大学01专业组(不限)
3314,河北师范大学02专业组(不限)
3314,河北师范大学03专业组(思想政治或地理)
3315,河北金融学院01专业组(不限)
3315,河北金融学院02专业组(不限)
3318,防灾科技学院01专业组(不限)
3320,河北环境工程学院01专业组(不限)
3320,河北环境工程学院02专业组(思想政治)
3321,燕山大学01专业组(不限)
3322,东北大学秦皇岛分校01专业组(不限)
3332,华北理工大学01专业组(不限)
3332,华北理工大学02专业组(不限)
3332,华北理工大学03专业组(化学)
3332,华北理工大学04专业组(化学或生物)
3333,衡水学院01专业组(不限)
3333,衡水学院02专业组(化学或生物)
3333,衡水学院03专业组(思想政治)
3341,北华航天工业学院01专业组(不限)
3350,张家口学院01专业组(不限)
3362,邢台学院01专业组(不限)
3365,沧州师范学院01专业组(不限)
3378,河北石油职业技术大学01专业组(不限)
3379,河北科技工程职业技术大学01专业组(不限)
3379,河北科技工程职业技术大学02专业组(化学)
3401,山西大学01专业组(不限)
3401,山西大学02专业组(思想政治)
3401,山西大学03专业组(思想政治或地理)
3401,山西大学04专业组(地理)
3402,中北大学01专业组(不限)
3403,山西财经大学01专业组(不限)
3403,山西财经大学02专业组(不限)
3404,太原科技大学01专业组(不限)
3405,太原理工大学01专业组(不限)
3406,太原工业学院01专业组(不限)
3408,山西中医药大学01专业组(不限)
3408,山西中医药大学02专业组(化学)
3408,山西中医药大学03专业组(化学或生物)
3410,山西农业大学01专业组(不限)
3410,山西农业大学02专业组(化学)
3410,山西农业大学03专业组(生物或地理)
3412,山西传媒学院01专业组(不限)
3415,山西师范大学01专业组(不限)
3415,山西师范大学02专业组(化学或地理)
3415,山西师范大学03专业组(思想政治)
3416,太原师范学院01专业组(不限)
3416,太原师范学院02专业组(化学或地理)
3416,太原师范学院03专业组(思想政治)
3417,山西大同大学01专业组(思想政治)
3418,运城学院01专业组(不限)
3418,运城学院02专业组(思想政治)
3431,吕梁学院01专业组(不限)
3431,吕梁学院02专业组(思想政治)
3432,晋中学院01专业组(不限)
3433,山西工程技术学院01专业组(不限)
3433,山西工程技术学院02专业组(化学或地理)
3501,内蒙古大学01专业组(思想政治)
3506,内蒙古民族大学01专业组(不限)
3506,内蒙古民族大学02专业组(思想政治)
3507,内蒙古财经大学01专业组(不限)
3511,内蒙古科技大学01专业组(不限)
3511,内蒙古科技大学02专业组(思想政治)
3515,赤峰学院01专业组(不限)
4101,东北大学01专业组(不限)
4102,辽宁大学01专业组(不限)
4102,辽宁大学02专业组(不限)
4102,辽宁大学03专业组(不限)
4102,辽宁大学04专业组(不限)
4102,辽宁大学05专业组(不限)
4104,沈阳药科大学01专业组(不限)
4104,沈阳药科大学02专业组(化学)
4104,沈阳药科大学03专业组(化学或生物)
4108,沈阳工业大学01专业组(不限)
4109,沈阳理工大学01专业组(不限)
4112,鞍山师范学院01专业组(不限)
4113,沈阳医学院01专业组(不限)
4113,沈阳医学院02专业组(化学)
4113,沈阳医学院03专业组(化学或生物)
4114,辽宁中医药大学01专业组(不限)
4114,辽宁中医药大学02专业组(不限)
4114,辽宁中医药大学03专业组(不限)
4117,沈阳师范大学01专业组(不限)
4117,沈阳师范大学02专业组(不限)
4126,辽宁师范大学01专业组(不限)
4131,大连理工大学01专业组(不限)
4132,大连海事大学01专业组(不限)
4133,东北财经大学01专业组(不限)
4133,东北财经大学02专业组(不限)
4133,东北财经大学03专业组(不限)
4135,大连外国语大学01专业组(不限)
4135,大连外国语大学02专业组(不限)
4136,大连大学01专业组(不限)
4139,大连交通大学01专业组(不限)
4140,大连民族大学01专业组(不限)
4152,渤海大学01专业组(不限)
4161,辽宁工程技术大学01专业组(不限)
4162,大连理工大学(盘锦校区)01专业组(不限)
4201,吉林大学02专业组(不限)
4201,吉林大学03专业组(思想政治)
4201,吉林大学04专业组(地理)
4202,东北师范大学01专业组(不限)
4202,东北师范大学02专业组(不限)
4203,吉林农业大学01专业组(不限)
4204,长春大学01专业组(不限)
4204,长春大学02专业组(不限)
4206,吉林财经大学01专业组(不限)
4206,吉林财经大学02专业组(不限)
4207,长春师范大学01专业组(不限)
4207,长春师范大学02专业组(不限)
4207,长春师范大学03专业组(不限)
4210,吉林建筑大学01专业组(不限)
4210,吉林建筑大学02专业组(生物或地理)
4212,吉林工程技术师范学院01专业组(不限)
4215,吉林师范大学01专业组(不限)
4215,吉林师范大学02专业组(不限)
4215,吉林师范大学03专业组(化学或地理)
4215,吉林师范大学04专业组(思想政治)
4220,吉林警察学院01专业组(不限)
4225,吉林农业科技学院01专业组(不限)
4228,吉林医药学院01专业组(不限)
4231,东北电力大学01专业组(不限)
4232,北华大学01专业组(不限)
4232,北华大学02专业组(思想政治)
4233,通化师范学院01专业组(不限)
4235,吉林化工学院01专业组(不限)
4235,吉林化工学院02专业组(化学或生物)
4237,吉林工商学院01专业组(不限)
4241,白城师范学院01专业组(不限)
4241,白城师范学院02专业组(不限)
4241,白城师范学院03专业组(化学或地理)
4241,白城师范学院04专业组(思想政治)
4302,哈尔滨工程大学01专业组(不限)
4303,东北林业大学01专业组(不限)
4304,东北农业大学01专业组(不限)
4306,黑龙江工程学院01专业组(不限)
4306,黑龙江工程学院02专业组(化学或地理)
4307,哈尔滨商业大学01专业组(不限)
4309,哈尔滨医科大学01专业组(不限)
4309,哈尔滨医科大学02专业组(化学)
4310,黑龙江科技大学01专业组(不限)
4310,黑龙江科技大学02专业组(思想政治)
4311,黑龙江大学02专业组(不限)
4311,黑龙江大学03专业组(思想政治)
4311,黑龙江大学04专业组(思想政治或地理)
4312,哈尔滨师范大学01专业组(不限)
4314,牡丹江师范学院01专业组(不限)
4314,牡丹江师范学院02专业组(地理)
4315,哈尔滨金融学院01专业组(不限)
4323,哈尔滨学院01专业组(不限)
4323,哈尔滨学院02专业组(不限)
4332,齐齐哈尔大学01专业组(不限)
4332,齐齐哈尔大学02专业组(思想政治)
4371,延边大学01专业组(不限)
5101,郑州大学01专业组(不限)
5103,中原工学院01专业组(不限)
5104,河南工业大学01专业组(不限)
5104,河南工业大学02专业组(不限)
5105,郑州航空工业管理学院01专业组(不限)
5106,郑州轻工业大学01专业组(不限)
5110,河南科技学院01专业组(不限)
5114,河南中医药大学01专业组(不限)
5117,河南农业大学01专业组(不限)
5118,信阳师范学院01专业组(不限)
5118,信阳师范学院02专业组(不限)
5119,河南财经政法大学01专业组(不限)
5119,河南财经政法大学02专业组(不限)
5119,河南财经政法大学03专业组(化学或地理)
5122,河南工程学院01专业组(不限)
5125,周口师范学院01专业组(不限)
